view_name,column_name,data_type,is_nullable,max_length,precision,scale
dbo.vw_bibliometric_author_productivity,author_name,nvarchar,True,8000,0,0
dbo.vw_bibliometric_author_productivity,total_papers,int,True,4,10,0
dbo.vw_bibliometric_author_productivity,corresponding_author_count,int,True,4,10,0
dbo.vw_bibliometric_author_productivity,total_citations,int,True,4,10,0
dbo.vw_bibliometric_author_productivity,avg_citations_per_paper,float,True,8,53,0
dbo.vw_bibliometric_author_productivity,active_years,varchar,True,-1,0,0
dbo.vw_bibliometric_author_productivity,unique_journals,int,True,4,10,0
dbo.vw_bibliometric_author_productivity,years_active,int,True,4,10,0
dbo.vw_bibliometric_collaborating_institutions,institution_id,nvarchar,True,1000,0,0
dbo.vw_bibliometric_collaborating_institutions,institution_name,nvarchar,True,1000,0,0
dbo.vw_bibliometric_collaborating_institutions,country_code,nvarchar,True,20,0,0
dbo.vw_bibliometric_collaborating_institutions,collaboration_count,int,True,4,10,0
dbo.vw_bibliometric_collaborating_institutions,first_collaboration_year,int,True,4,10,0
dbo.vw_bibliometric_collaborating_institutions,latest_collaboration_year,int,True,4,10,0
dbo.vw_bibliometric_collaborations,author1,varchar,True,500,0,0
dbo.vw_bibliometric_collaborations,author2,varchar,True,500,0,0
dbo.vw_bibliometric_collaborations,collaboration_count,int,True,4,10,0
dbo.vw_bibliometric_collaborations,collaboration_years,varchar,True,8000,0,0
dbo.vw_bibliometric_collaborations,dept1_list,nvarchar,True,8000,0,0
dbo.vw_bibliometric_collaborations,dept2_list,nvarchar,True,8000,0,0
dbo.vw_bibliometric_collaborations,dept_collaboration_count,int,True,4,10,0
dbo.vw_bibliometric_collaborations,collaboration_type,varchar,False,8,0,0
dbo.vw_bibliometric_department_metrics,department,nvarchar,True,-1,0,0
dbo.vw_bibliometric_department_metrics,publication_count,int,True,4,10,0
dbo.vw_bibliometric_department_metrics,total_citations,int,True,4,10,0
dbo.vw_bibliometric_department_metrics,avg_citations,float,True,8,53,0
dbo.vw_bibliometric_department_metrics,author_count,int,True,4,10,0
dbo.vw_bibliometric_department_metrics,unique_journals,int,True,4,10,0
dbo.vw_bibliometric_department_metrics,avg_impact_factor,float,True,8,53,0
dbo.vw_bibliometric_department_metrics,active_years,varchar,True,8000,0,0
dbo.vw_bibliometric_department_metrics,q1_papers,int,True,4,10,0
dbo.vw_bibliometric_journal_metrics,journal,nvarchar,True,-1,0,0
dbo.vw_bibliometric_journal_metrics,quartile,nvarchar,True,-1,0,0
dbo.vw_bibliometric_journal_metrics,impact_factor,real,True,4,24,0
dbo.vw_bibliometric_journal_metrics,publication_count,int,True,4,10,0
dbo.vw_bibliometric_journal_metrics,total_citations,int,True,4,10,0
dbo.vw_bibliometric_journal_metrics,avg_citations,float,True,8,53,0
dbo.vw_bibliometric_journal_metrics,open_access_count,int,True,4,10,0
dbo.vw_bibliometric_journal_metrics,first_publication_year,int,True,4,10,0
dbo.vw_bibliometric_journal_metrics,latest_publication_year,int,True,4,10,0
dbo.vw_bibliometric_khcc_authors,id,bigint,True,8,19,0
dbo.vw_bibliometric_khcc_authors,paper_id,nvarchar,True,-1,0,0
dbo.vw_bibliometric_khcc_authors,author_id,nvarchar,True,8000,0,0
dbo.vw_bibliometric_khcc_authors,author_name,nvarchar,True,8000,0,0
dbo.vw_bibliometric_khcc_authors,author_position,nvarchar,True,8000,0,0
dbo.vw_bibliometric_khcc_authors,is_corresponding,int,True,4,10,0
dbo.vw_bibliometric_khcc_authors,publication_year,int,True,4,10,0
dbo.vw_bibliometric_khcc_authors,citations,int,True,4,10,0
dbo.vw_bibliometric_khcc_authors,journal_name,nvarchar,True,-1,0,0
dbo.vw_bibliometric_khcc_authors,quartile,nvarchar,True,-1,0,0
dbo.vw_bibliometric_khcc_authors,open_access,int,False,4,10,0
dbo.vw_bibliometric_khcc_authors,impact_factor,real,True,4,24,0
dbo.vw_bibliometric_papers_summary,paper_id,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,title,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,publication_date,date,True,3,10,0
dbo.vw_bibliometric_papers_summary,publication_year,int,True,4,10,0
dbo.vw_bibliometric_papers_summary,publication_month,int,True,4,10,0
dbo.vw_bibliometric_papers_summary,journal,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,impact_factor,real,True,4,24,0
dbo.vw_bibliometric_papers_summary,quartile,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,citations,int,True,4,10,0
dbo.vw_bibliometric_papers_summary,open_access,int,False,4,10,0
dbo.vw_bibliometric_papers_summary,publication_type,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,authors_text,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,concepts_text,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,mesh_terms_text,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,authorships_json,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,concepts_json,nvarchar,True,-1,0,0
dbo.vw_bibliometric_papers_summary,mesh_json,nvarchar,True,-1,0,0
dbo.vw_bibliometric_research_topics,concept_id,nvarchar,True,1000,0,0
dbo.vw_bibliometric_research_topics,concept_name,nvarchar,True,1000,0,0
dbo.vw_bibliometric_research_topics,papers_count,int,True,4,10,0
dbo.vw_bibliometric_research_topics,avg_relevance_score,float,True,8,53,0
dbo.vw_bibliometric_research_topics,years_active,varchar,True,-1,0,0
dbo.vw_bibliometric_topic_network,source_id,nvarchar,True,1000,0,0
dbo.vw_bibliometric_topic_network,source_name,nvarchar,True,1000,0,0
dbo.vw_bibliometric_topic_network,target_id,nvarchar,True,1000,0,0
dbo.vw_bibliometric_topic_network,target_name,nvarchar,True,1000,0,0
dbo.vw_bibliometric_topic_network,cooccurrence_count,int,True,4,10,0
dbo.vw_bibliometric_topic_network,connection_strength,numeric,True,13,24,12
